naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen 
I&apos;m a Kamen Rider (And So Are You),The Evil Within,1,1600,8,8800,2018-12-25,2018-11-08,2018-12-22,False,False
Information War,Absolute0,1,1100,1,1100,2018-12-23,2018-12-18,2018-12-22,False,False
Megiddo,TheGoodSir,1,2700,9,30000,2018-12-24,2017-08-13,2018-12-22,False,False
Meta,TinyGladiator,15,60000,15,60000,2018-12-25,2017-03-18,2018-12-22,False,False
Miles of Worms,muqi,3,5100,4,6800,2018-12-22,2018-12-11,2018-12-22,False,False
Newspaper Mama,DeviantD,29,55000,29,55000,2018-12-22,2018-07-21,2018-12-22,False,False
Renegade Creator,Whiteeyes,1,3000,2,5300,2018-12-22,2018-12-19,2018-12-22,False,False
The Simurgh&apos;s Son,Darth Marrs,1,3000,66,272000,2018-12-22,2017-09-30,2018-12-22,False,False
Spider,nogoodbi,3,2800,4,3600,2018-12-22,2018-12-21,2018-12-22,False,False
Great Power Comes with No Responsibility,Niiyu,1,1500,33,82000,2018-12-22,2018-08-28,2018-12-22,True,False
Infernal Conundrum,Thief of Words,1,2600,46,86000,2018-12-25,2016-06-10,2018-12-22,True,False
American Dream,Ilovepievich,1,1700,1,1700,2018-12-17,2018-12-17,2018-12-15,False,False
"Endbringer ideas: Atcen, the Frozen Hunger",ClubsOfAces,1,895,1,895,2018-12-15,2018-12-15,2018-12-15,False,False
Fatherhood,Spoons,2,7400,2,7400,2018-12-15,2018-12-15,2018-12-15,False,False
Reaver,DestinyPlayer,1,2200,1,2200,2018-12-16,2018-12-16,2018-12-15,False,False
Romantic Pursuits,Much Too Desensitized,8,8800,8,8800,2018-12-15,2018-12-17,2018-12-15,False,False
This One Is In The Bag,Manchurian Candidate,1,1600,1,1600,2018-12-15,2018-12-15,2018-12-15,False,False
Warp,maroon_sweater,1,4100,1,4100,2018-12-15,2018-12-15,2018-12-15,False,False
A worm cyoa stuck on Dresden earth,Lokpik89,1,204,1,204,2018-12-18,2018-12-18,2018-12-15,True,False
CAUGHT IN YOUR WEB -- THE RAP,EtchJetty,1,229,1,229,2018-12-17,2018-12-17,2018-12-15,False,True
Clouds in my Coffee,Tamoline,1,1300,1,1300,2018-12-15,2018-12-15,2018-12-15,False,True
fangz for reading!!!!1!!1!1,EtchJetty,1,592,1,592,2018-12-17,2018-12-17,2018-12-15,False,True
insert &apos;Worm&apos; character here saves the world... By accident,Klingdark,1,257,1,257,2018-12-15,2018-12-15,2018-12-15,False,True
A Substitute Teacher,HarpoonX,1,1400,1,1400,2018-12-15,2018-12-15,2018-12-15,False,True
Do Unto Others,Noelemahc,3,15000,3,15000,2018-12-17,2018-06-19,2018-12-15,False,False
The Great Toad Sage of Brockton Bay,Radical Sway,1,2800,40,193000,2018-12-15,2015-12-27,2018-12-15,False,False
Havamal,Jamie Roberts,3,4000,9,11000,2018-12-15,2018-02-28,2018-12-15,False,False
Wormling,WorldsPariah,1,1100,5,5100,2018-12-18,2018-08-12,2018-12-15,False,False
All Things Devoured,UnwelcomeStorm,1,2300,19,36000,2018-12-15,2017-01-31,2018-12-15,True,False
Demon Lord of the End,TheAuraKing,1,6300,4,21000,2018-12-15,2018-10-04,2018-12-15,False,False
Displaced War Veteran,Akallas von Aerok,1,1500,9,18000,2018-12-15,2018-11-03,2018-12-15,False,False
Green Sun,Ilovepievich,1,1000,5,7100,2018-12-19,2018-11-22,2018-12-15,False,False
I Am Here!,Tokoz,1,2100,2,4000,2018-12-17,2018-11-14,2018-12-15,False,False
A Method to the Madness,Nitelock75,1,3700,2,6900,2018-12-17,2018-12-10,2018-12-15,False,False
The One,RoyalNoises,1,993,53,38000,2018-12-15,2018-06-10,2018-12-15,False,False
A Problematic Parallel,MrDrProfessor,1,3200,2,6900,2018-12-17,2018-12-06,2018-12-15,False,False
Railroading,speck2993,1,3600,3,10000,2018-12-15,2018-10-01,2018-12-15,False,False
SHIELD maiden,Lunaryon,1,231,7,8700,2018-12-16,2018-11-17,2018-12-15,False,False
Spinning The Gacha,Rhydeble,1,1200,33,44000,2018-12-16,2018-03-02,2018-12-15,False,False
The Wizard,thelifeandtimes,1,1900,2,3100,2018-12-18,2018-12-03,2018-12-15,False,False
Ash to Ice,Bluebel,1,5400,12,37000,2018-12-19,2018-07-02,2018-12-15,True,False
The World According to Rocag,BMW,63,119000,63,119000,2018-12-18,2018-06-18,2018-12-15,True,False
Harder Than I Expected,AetherVxLord,1,1200,1,1200,2018-12-08,2018-12-08,2018-12-08,False,False
Magical Brockton Bay,SakiInfinity,1,710,1,710,2018-12-09,2018-12-09,2018-12-08,False,False
Manus Dei,Beige,1,1100,1,1100,2018-12-08,2018-12-08,2018-12-08,False,False
The Sage of Brockton Bay,Sgt.Freeman,1,999,1,999,2018-12-08,2018-12-08,2018-12-08,False,False
Tales of Vista&apos;s Harem,Shadow Crystal Mage,3,2900,3,2900,2018-12-08,2018-12-08,2018-12-08,False,False
Thoughts as fast as lightning,Ukilhim,1,1200,1,1200,2018-12-08,2018-12-08,2018-12-08,False,False
Serpent,IamCeeKae,4,6000,4,6000,2018-12-08,2018-12-08,2018-12-08,True,False
Shadow of death,GoneWind,1,2600,1,2600,2018-12-08,2018-12-08,2018-12-08,True,False
Completely Unoriginal :: Yet Another CYOA/SI/MC in Brockton Bay,themanwhowas,93,125000,93,125000,2018-12-08,2017-05-18,2018-12-08,False,True
The River Meets the Sea,Tamoline,1,1300,1,1300,2018-12-08,2018-12-08,2018-12-08,False,True
Are You Afraid of the Dark?,Ack,3,20000,3,20000,2018-12-08,2016-02-26,2018-12-08,False,False
Breathe,ericwinter,1,2600,4,14000,2018-12-08,2018-05-18,2018-12-08,False,False
NÃ­Ã°hÃ¶ggr,Bitoes,7,7100,7,7100,2018-12-08,2017-11-03,2018-12-08,False,False
Power Rangers: Going Medieval,Guardsman_Sparky,1,3600,6,16000,2018-12-09,2015-11-24,2018-12-08,False,False
Wagh Boss!,AlphaMoyer,1,1100,12,21000,2018-12-08,2017-10-23,2018-12-08,False,False
The Wicked Stars,DMfromTheAbyss,1,6200,36,173000,2018-12-08,2017-03-22,2018-12-08,False,False
Digital Helix,ellfangor8,13,34000,13,34000,2018-12-08,2017-10-12,2018-12-08,False,False
The End of the F***ing World!,JackSl,1,2000,2,3100,2018-12-08,2018-10-07,2018-12-08,False,False
A Girl And Her Monster,Zira,1,3800,14,38000,2018-12-08,2018-02-08,2018-12-08,False,False
Only Ghosts Behind Me,Space Captain Emily,1,1300,3,5100,2018-12-08,2018-11-24,2018-12-08,False,False
Space Tortuga&apos;s Booty Emporium,frustratedFreeboota,1,1800,51,1700,2018-12-08,2018-08-24,2018-12-08,False,False
Tall Spooky Guy,Ilovepievich,1,665,3,1500,2018-12-08,2018-11-01,2018-12-08,False,False
"A Wild, Wormy West",Rhydeble,4,11000,23,52000,2018-12-08,2017-12-01,2018-12-08,False,False
Worming Into The Records,Hogg4,1,797,3,1700,2018-12-08,2018-12-06,2018-12-08,False,False
An Apostle&apos;s Anti-Apocalyptic Adventure Agenda,Argidoll,2,1900,2,1900,2018-12-09,2018-12-04,2018-12-08,True,False
Aspect of Heroics,Demifailure,1,2000,4,3900,2018-12-08,2018-09-14,2018-12-08,True,False
Advent,DeusExTranshuman,1,7500,1,7500,2018-12-01,2018-12-01,2018-12-01,False,False
"Cultivation Addict, Tinker!Taylor",PocketRikimaru,1,1700,1,1700,2018-12-02,2018-12-02,2018-12-01,False,False
The Earth-bet Singularity,Eggcelsior,1,1900,1,1900,2018-12-01,2018-12-01,2018-12-01,False,False
Gambling Addiction,Copyrightdragon,1,823,1,823,2018-12-01,2018-12-01,2018-12-01,False,False
In the Blood,The Sleeping Knight,1,3400,1,3400,2018-12-05,2018-12-05,2018-12-01,False,False
Knight&apos;s Armory of Snips,The Sleeping Knight,4,7500,4,7500,2018-12-06,2018-12-03,2018-12-01,False,False
All Alone,Ack,7,57000,7,57000,2018-12-03,2015-06-13,2018-12-01,False,True
"Broken Mirrors, Black Cats, and Other Wonderful Things",T0PH4T,36,37000,36,37000,2018-12-02,2018-10-23,2018-12-01,False,True
A Chaotic Neutral in Brockton Bay,DireSquirrel,18,23000,18,23000,2018-12-01,2016-08-23,2018-12-01,False,True
The Ghosts We Make,TheSleepingKnight,1,2900,1,2900,2018-12-03,2018-12-03,2018-12-01,False,True
An Enigmatic Source of Knowledge,Chartic,1,4300,27,97000,2018-12-03,2017-01-06,2018-12-01,False,False
Evolution,Rater202,1,3400,35,108000,2018-12-02,2016-06-19,2018-12-01,False,False
Freezing Worm,Skelethin,1,966,7,6200,2018-12-04,2016-11-30,2018-12-01,False,False
Just Use Money,2Royal2Jello,1,3500,9,28000,2018-12-05,2016-07-12,2018-12-01,False,False
Sandcastles,SpiritualSlacker,1,2800,9,19000,2018-12-02,2017-09-11,2018-12-01,False,False
The Cat of Ellisburg,DrVahlenValen,28,43000,28,43000,2018-12-04,2015-05-17,2018-12-01,False,False
Ãclair de Lune,tmthesaurus (Duat),1,1700,7,13000,2018-12-03,2017-05-05,2018-12-01,False,False
"Cogito, Ergo Sum",SouthernWind,2,1900,3,894,2018-12-02,2018-11-30,2018-12-01,False,False
From Worm to Champion,Hogg4,3,2400,11,7400,2018-12-04,2018-11-26,2018-12-01,False,False
Let There Be Light,Shirazad,2,14000,10,7600,2018-12-01,2018-09-09,2018-12-01,False,False
NYC Continuum,Zacatigy,10,39000,10,39000,2018-12-02,2018-07-22,2018-12-01,False,False
"Perfection, Statistical Impossibility",Hogg4,1,840,7,2700,2018-12-05,2018-11-19,2018-12-01,False,False
Pick A Card,Glazt,17,38000,17,38000,2018-12-02,2018-10-21,2018-12-01,False,False
Propa in Worm,The Propa Orky Reda,2,592,22,20000,2018-12-05,2017-08-12,2018-12-01,False,False
Queen of Games,Demented Frog Noise,1,1400,4,1400,2018-12-01,2018-11-10,2018-12-01,False,False
Rag Doll,SouthernWind,1,724,10,8300,2018-12-02,2018-11-15,2018-12-01,False,False
Taylor&apos;s Arc,Shokhk,5,13000,5,13000,2018-12-01,2018-09-30,2018-12-01,False,False
Depressed and Desperate,Curious Whimsy,2,732,2,732,2018-12-01,2018-11-30,2018-12-01,True,False
"I&apos;m sorry, can you repeat that?",Zerrer,1,2100,37,76000,2018-12-05,2017-08-09,2018-12-01,True,False
Shards of Ash and Earth,GreatWyrmGold,9,7300,9,7300,2018-12-05,2018-10-11,2018-12-01,True,False
"Deceleration, a Worm AU Sequel",chibipoe,1,2500,1,2500,2018-11-24,2018-11-24,2018-11-24,False,False
Eternal Engines,Here Come The Spoons,2,7300,2,7300,2018-11-24,2018-11-24,2018-11-24,False,False
For the Good of Mankind,Switch72nd,2,2500,2,2500,2018-11-24,2018-11-24,2018-11-24,False,False
Morgana,AdorkableIsLife,1,4600,1,4600,2018-11-24,2018-11-24,2018-11-24,False,False
A New Type of Endbringer,Angeloid,2,3100,2,3100,2018-11-24,2018-11-24,2018-11-24,False,False
Papiergeist,AlSmash,1,3400,1,3400,2018-11-24,2018-11-24,2018-11-24,False,False
Papiergeist: A New Dawn,AlSmash,1,3200,1,3200,2018-11-24,2018-11-24,2018-11-24,False,False
RoyalFictionBattles,Lugia,1,2400,1,2400,2018-11-25,2018-11-25,2018-11-24,False,False
Substitute Teacher,sxeron10,1,1300,1,1300,2018-11-25,2018-11-25,2018-11-24,False,False
That&apos;s A Wrap,Grizzityuck,2,1200,2,1200,2018-11-24,2018-11-24,2018-11-24,False,False
Two Steps Left,AdorkableIsLife,1,5500,1,5500,2018-11-24,2018-11-24,2018-11-24,False,False
When I Sling By (and get Caught in Your Web),Rhydeble,2,7200,2,7200,2018-11-24,2018-11-24,2018-11-24,False,False
Follow Me into the Endless Night,AnimalKrazed,2,1600,2,1600,2018-11-24,2018-11-24,2018-11-24,True,False
Caught On The Web,AParticularlyLargeBear,1,2700,1,2700,2018-11-24,2018-11-24,2018-11-24,False,True
The Ordinary Panacea,PuzzleRaven,1,1900,1,1900,2018-11-25,2018-11-25,2018-11-24,False,True
Bleeding Memories,Cackles,1,0,3,5600,2018-11-26,2017-10-19,2018-11-24,False,False
Glassbreaker - Superb Song of the Valkyries,silverpower,1,4000,9,26000,2018-11-24,2018-03-26,2018-11-24,False,False
The Plague,Anaccountforfurrythings,1,0,10,7300,2018-11-25,2018-04-25,2018-11-24,False,False
With Friends Like These,TheMadmanAndre,1,4100,20,77000,2018-11-24,2014-09-24,2018-11-24,False,False
Chaos Bringer,SotF,7,3000,29,15000,2018-11-26,2018-11-06,2018-11-24,False,False
"Coffee, Code, and Chrysalis",BeaconHill,1,1400,8,9600,2018-11-25,2018-11-04,2018-11-24,False,False
Cultivation Addict,Rikimaru,3,1400,3,1400,2018-11-24,2018-10-23,2018-11-24,False,False
Gluttony,UsurperOfTruth,1,1000,7,13000,2018-11-24,2018-10-06,2018-11-24,False,False
Green Potential,Quadruple.Digits,1,0,10,6000,2018-11-24,2018-08-19,2018-11-24,False,False
Miracleworks,s-lver,1,0,9,21000,2018-11-24,2018-09-29,2018-11-24,False,False
Player&apos;s Guide,ericwinter,1,2500,2,2300,2018-11-24,2018-11-17,2018-11-24,False,False
A Question of Loyalty,Cindy Standards,1,1000,4,3700,2018-11-24,2018-10-03,2018-11-24,False,False
Sink,Wellwick,1,0,10,10000,2018-11-24,2018-10-31,2018-11-24,False,False
Three Headed Dog,wolfund,1,0,2,15000,2018-11-24,2018-10-13,2018-11-24,False,False
"Hello, Commander.",Envy34,1,2700,4,1900,2018-11-24,2018-11-05,2018-11-24,True,False
Monarch of Nothing,Phoenix Ride,1,2800,1,2800,2018-11-11,2018-11-11,2018-11-10,False,False
Stonewall&apos;s Warband,Ilovepievich,1,962,1,962,2018-11-10,2018-11-09,2018-11-10,False,False
To Hunt,Valor XIV,1,1000,1,1000,2018-11-12,2018-11-11,2018-11-10,False,False
Truant,ManMagnificent,3,13000,3,13000,2018-11-14,2018-11-14,2018-11-10,False,False
Wings Of Redemption,Yeetislife,1,1400,1,1400,2018-11-10,2018-11-09,2018-11-10,False,False
Haunting,WastingPixies,3,844,3,844,2018-11-10,2018-11-12,2018-11-10,True,False
Bloody Tinkers,unsanity,20,12000,20,12000,2018-11-10,2018-03-26,2018-11-10,False,True
Completely Unoriginal,themanwhowas,94,127000,94,127000,2018-11-10,2017-05-18,2018-11-10,False,True
Ignorance Is Bliss,Fox_In_A_Box,1,1200,1,1200,2018-11-11,2018-11-10,2018-11-10,False,True
The Letters We Never Wrote,TheSleepingKnight,1,806,1,806,2018-11-10,2018-11-10,2018-11-10,False,True
Not Invincible,AParticularlyLargeBear,1,1100,1,1100,2018-11-10,2018-11-10,2018-11-10,False,True
R in the month,PuzzleRaven,1,546,1,546,2018-11-12,2018-11-11,2018-11-10,False,True
HELLMARSH,Alex_Andr_2017,1,2000,29,30000,2018-11-10,2017-02-05,2018-11-10,False,False
Tinker Trek,RubyPaladin59,2,1600,5,5700,2018-11-11,2018-03-25,2018-11-10,False,False
The Book of Unsanity: Clippets and Snippets,unsanity,8,14000,8,14000,2018-11-10,2018-06-26,2018-11-10,False,False
Brockton: In Venatus,NesQuarX,1,1200,53,125000,2018-11-12,2016-11-02,2018-11-10,False,False
Come Hell or Helheim,Xomniac,1,7600,3,8300,2018-11-10,2018-09-03,2018-11-10,False,False
Commercial Break,Jonakhensu,1,4700,25,96000,2018-11-13,2018-04-07,2018-11-10,False,False
Containment Report,AeroVox,47,101000,47,101000,2018-11-10,2017-11-14,2018-11-10,False,False
The Curious Tale Of Doctor Ophiuchus,HorizonTheTransient,3,5400,36,47000,2018-11-10,2018-08-15,2018-11-10,False,False
Flechette&apos;s Foodie Forays,Harbin &amp; skyrunner,1,2900,10,21000,2018-11-12,2018-10-03,2018-11-10,False,False
Isn&apos;t It A Drag,Scrypt_of_Zealot,14,33000,14,33000,2018-11-13,2017-01-31,2018-11-10,False,False
The Lady of the Flies,InsanityIncarnate90,1,3200,16,41000,2018-11-13,2017-07-25,2018-11-10,False,False
Love is Murder,frustratedFreeboota,1,678,6,2900,2018-11-10,2018-10-16,2018-11-10,False,False
A Magical Experience,Aia,1,4000,2,8100,2018-11-10,2018-10-24,2018-11-10,False,False
Mend,stabbyunicorn,1,1600,19,36000,2018-11-12,2018-09-29,2018-11-10,False,False
My New Life as Taylor Hebert,Amazingking14,1,930,5,4900,2018-11-11,2018-07-25,2018-11-10,False,False
Necrosis,MoragTong,3,3400,3,3400,2018-11-13,2018-10-22,2018-11-10,False,False
The New Court,Roverb,1,5200,5,730,2018-11-12,2018-09-29,2018-11-10,False,False
On a whim,Treevile,1,981,24,49000,2018-11-11,2018-08-26,2018-11-10,False,False
PHOverlord,ThoughtsOfDeath,2,13000,9,31000,2018-11-10,2018-10-02,2018-11-10,False,False
The Seraph And The Cambion,Hogg4,7,10000,9,1000,2018-11-10,2018-11-09,2018-11-10,False,False
Shipping It Stargate Style,TCGM,3,6800,3,6800,2018-11-10,2018-08-22,2018-11-10,False,False
Survival,brian edner,1,153,6,10000,2018-11-12,2018-10-01,2018-11-10,False,False
Valerie,HereForWorm,1,2700,3,4100,2018-11-14,2018-08-29,2018-11-10,False,False
A Will to Shatter Stars,Atlanrom,1,2800,7,13000,2018-11-11,2018-10-13,2018-11-10,False,False
Worthy Opponents,T0PH4T,6,39000,6,39000,2018-11-10,2018-07-04,2018-11-10,False,False
Powerless,FwiffoForce,3,3300,5,1700,2018-11-13,2018-11-09,2018-11-10,True,False
Sleeper&apos;s Bizarre Adventure,Demented Frog Noise,1,681,24,28000,2018-11-12,2018-08-03,2018-11-10,True,False
Striking the Aleph,helpmeimscared,1,2400,9,9900,2018-11-10,2018-10-11,2018-11-10,True,False
The Warmachine,Spktr Alpha,1,2400,23,26000,2018-11-10,2018-09-07,2018-11-10,True,False
Changing Possibilities,ExtraChronal,1,812,1,812,2018-11-03,2018-11-03,2018-11-03,False,False
Comes the Thunder,Xero Key,1,2300,1,2300,2018-11-03,2018-11-03,2018-11-03,False,False
Devilman Worm challenge,WBXtreme234,1,91,1,91,2018-11-03,2018-11-03,2018-11-03,False,False
Fantastic Tales,Deviatesfish,2,2100,2,2100,2018-11-03,2018-11-03,2018-11-03,False,False
Pantheon,pteradon,2,6900,2,6900,2018-11-03,2018-11-03,2018-11-03,False,False
Space Whale Patronus Chums,PencilMonkey,1,6800,1,6800,2018-11-03,2018-11-03,2018-11-03,False,False
Worm Tale,IAmARobot,2,3800,2,3800,2018-11-03,2018-11-03,2018-11-03,False,False
How Abuse led to Cuddle Time,TresHornyBoys,1,3100,1,3100,2018-11-03,2018-11-02,2018-11-03,False,True
Fan Service,Pericardium,5,4300,5,4300,2018-11-03,2018-05-11,2018-11-03,False,False
Formerly Known as Aquilla,Wafflethorpe,21,82000,21,82000,2018-11-03,2017-05-01,2018-11-03,False,False
Invasion,Ridtom,1,1800,5,9000,2018-11-03,2018-04-21,2018-11-03,False,False
No good deed...,Ld1449,1,2700,46,2500,2018-11-03,2016-03-02,2018-11-03,False,False
Reconciliation: Post snips,Ld1449,1,857,3,986,2018-11-03,2018-07-20,2018-11-03,False,False
Technomage,Illuviar,1,2900,13,31000,2018-11-03,2015-12-15,2018-11-03,False,False
There&apos;s No Way My New Little Sister Can Be The Simurgh!,ensou,1,2900,7,19000,2018-11-03,2017-05-12,2018-11-03,False,False
Unsung Heroes: Scorched Earth,Zaralann,1,10000,5,41000,2018-11-03,2016-10-28,2018-11-03,False,False
Ex Machina,Trekki859,2,10000,21,55000,2018-11-03,2018-10-24,2018-11-03,False,False
Excur,Dusky,1,4700,3,6700,2018-11-03,2018-09-14,2018-11-03,False,False
A Father&apos;s Rage,Ten Tailed God,1,2800,2,5800,2018-11-03,2018-10-31,2018-11-03,False,False
Letâs Play a Game,Shadow Archon,1,5100,13,54000,2018-11-03,2018-03-30,2018-11-03,False,False
Silicon,TigerTitian,1,3000,6,7400,2018-11-03,2018-07-04,2018-11-03,False,False
Taylor&apos;s Adventures at the Bay,a_ghost,27,94000,27,94000,2018-11-03,2018-03-22,2018-11-03,False,False
Thaumaturgic Awakening,Xylix,1,7100,23,220000,2018-11-03,2016-02-21,2018-11-03,False,False
The U-Men: First Class,Murmur,10,17000,10,17000,2018-11-03,2017-07-28,2018-11-03,False,False
An Unfortunate Insertion,BreezyWheeze,2,5100,3,2200,2018-11-03,2018-10-27,2018-11-03,False,False
The Writings of Darwin P. Murdock,Vikaruss,1,1600,3,1500,2018-11-03,2018-10-30,2018-11-03,False,False
Xeno-Worm Chronicles,Hogg4,3,3400,20,15000,2018-11-03,2018-10-18,2018-11-03,False,False
Just a little bit louder and a little bit worse!,Tithed_Verse,1,190,4,387,2018-11-03,2018-09-12,2018-11-03,True,False
Lean (AU),Idiom Alpha,1,6400,1,6400,2018-10-27,2018-10-27,2018-10-27,False,False
A Prime Time for Escalation!,Apply Water Directly to Burn,3,24000,3,24000,2018-10-30,2018-10-27,2018-10-27,False,False
The Shards And The Bees,Eotyrannus,4,8200,4,8200,2018-10-31,2018-10-28,2018-10-27,False,False
Some Changer,TimeGear,2,2600,2,2600,2018-10-29,2018-10-27,2018-10-27,False,False
Would You Like a Piece of Pi?,GoreslashDOW,1,1500,1,1500,2018-10-31,2018-10-30,2018-10-27,False,False
Wrath Incarnate,The War Dragon,1,3600,1,3600,2018-10-27,2018-10-27,2018-10-27,False,False
Collagen,T0PH4T,55,184000,55,184000,2018-10-31,2017-10-14,2018-10-27,False,True
Obsidian Splinters,Tamoline,5,6600,5,6600,2018-11-01,2018-10-28,2018-10-27,False,True
A Dragontale,AParticularlyLargeBear,1,1000,1,1000,2018-10-31,2018-10-30,2018-10-27,False,True
It&apos;s Probably Bears,AParticularlyLargeBear,1,3300,1,3300,2018-10-27,2018-10-27,2018-10-27,False,True
Whatâs my plan for November?,TresHornyBoys,1,848,1,848,2018-10-27,2018-10-27,2018-10-27,False,True
Breaking the Game,Dhagon,1,3000,9,54000,2018-10-29,2017-09-12,2018-10-27,False,False
Heroic,Drich,1,1000,13,13000,2018-10-27,2018-01-15,2018-10-27,False,False
Probiotics,redfoxdelta,1,1300,6,7200,2018-11-01,2018-07-05,2018-10-27,False,False
Valkyrie Cross,Hojo Norem,1,11000,21,2100,2018-10-29,2015-07-22,2018-10-27,False,False
The Bird Of Hermes,Grey Dragon,1,1000,94,221000,2018-10-31,2017-03-31,2018-10-27,False,False
CYOAD is Unfortunately Not a Typo,PencilMonkey,1,3200,2,6400,2018-10-31,2018-08-22,2018-10-27,False,False
Denial,Nara'la,1,2600,24,69000,2018-10-27,2018-09-10,2018-10-27,False,False
Dependency,PlasticSoldier,1,5100,5,16000,2018-10-27,2018-10-10,2018-10-27,False,False
Emissary,Noelemahc,36,193000,36,193000,2018-10-31,2017-06-03,2018-10-27,False,False
The Faerie King,BirdestFriend,1,1800,3,3500,2018-10-29,2018-10-14,2018-10-27,False,False
Golden Girl,Weathered Field,7,9300,7,9300,2018-10-30,2018-10-20,2018-10-27,False,False
The Greatest Villain Of Them All,Caasi,1,2100,4,8000,2018-10-30,2018-10-20,2018-10-27,False,False
Jurassic Tinker,markus j. fox,1,947,7,5500,2018-10-29,2018-10-03,2018-10-27,False,False
Just Claws,Vhalidictes,1,9900,6,7700,2018-10-27,2018-07-03,2018-10-27,False,False
Overwhelming,Ilovepievich,1,1400,2,2500,2018-10-27,2018-10-23,2018-10-27,False,False
Plans Never Survive,Drake3520,5,4800,9,4400,2018-10-27,2018-10-25,2018-10-27,False,False
Red Hands,Shuubuu,2,2500,5,4100,2018-10-28,2018-10-24,2018-10-27,False,False
Skitter Studies,The Laurent,1,3300,71,362000,2018-11-01,2017-02-10,2018-10-27,False,False
"Why Yes, I am an Evil Lair.",Automatonation,9,27000,9,27000,2018-10-30,2018-07-27,2018-10-27,False,False
With This Empty Hand,Jaggerain,1,4100,2,2100,2018-10-28,2018-10-25,2018-10-27,False,False
Wonderful,Mazinja,1,2200,23,47000,2018-10-30,2015-12-04,2018-10-27,False,False
Administrative Connection,Night Sentinel,8,3200,8,3200,2018-10-27,2018-10-24,2018-10-27,True,False
Wriggle,Sereg,1,1900,11,10000,2018-10-31,2018-08-18,2018-10-27,True,False
A Bioluminescent Light in the Night,ThePuerileBibilophile,1,1500,1,1500,2018-10-20,2018-10-20,2018-10-20,False,False
A Forgetful Flower,Grubleafeater,1,580,1,580,2018-10-20,2018-10-20,2018-10-20,False,False
Lauded Cloud Nine,PencilMonkey,1,4200,1,4200,2018-10-20,2018-10-20,2018-10-20,False,False
Mistwalker and the Worm,Xegzy,1,1100,1,1100,2018-10-20,2018-10-20,2018-10-20,False,False
Paragon,Shore Storm,1,2000,1,2000,2018-10-20,2018-10-20,2018-10-20,False,False
Second Advent,Storycrafteer,2,1900,2,1900,2018-10-21,2018-10-20,2018-10-20,False,False
#Too_Advanced,frustratedFreeboota,1,145,1,145,2018-10-20,2018-10-20,2018-10-20,False,False
Truly Outrageous,tmthesaurus (Duat),1,583,1,583,2018-10-20,2018-10-20,2018-10-20,False,False
Audacity; Damsel&apos;s Quest of Distress,frustratedFreeboota,65,82000,65,82000,2018-10-20,2017-06-10,2018-10-20,True,True
The Death of Alexandria,August Night,1,4100,1,4100,2018-10-20,2018-10-20,2018-10-20,False,True
Disastress,frustratedFreeboota,1,1000,1,1000,2018-10-20,2018-10-20,2018-10-20,False,True
Faking It,Skairunner,2,461,2,461,2018-10-20,2018-10-17,2018-10-20,False,True
The Illustrious Debut of Bug Boy,AParticularlyLargeBear,1,811,1,811,2018-10-22,2018-10-21,2018-10-20,False,True
Let Me Crash Upon Your Shore,Tamoline,1,1200,1,1200,2018-10-20,2018-10-19,2018-10-20,False,True
Ruling Ash,keira_irl,1,2700,1,2700,2018-10-21,2018-10-20,2018-10-20,False,True
Teatime with Vic,AceDiamondis,1,279,1,279,2018-10-21,2018-10-20,2018-10-20,False,True
I am Superman,Ten Tailed God,2,3500,9,14000,2018-10-20,2016-12-21,2018-10-20,False,False
Taylor Doesn&apos;t Always get the Short Stick,EquinePianist,1,816,4,8700,2018-10-21,2016-11-19,2018-10-20,False,False
Teenagers Suck,Mizuki_Stone,1,716,153,115000,2018-10-20,2015-06-11,2018-10-20,False,False
Trump Card,Ack,1,7000,34,165000,2018-10-20,2014-12-16,2018-10-20,False,False
The Warcrafter,RHJunior,2,27000,22,214000,2018-10-20,2018-04-24,2018-10-20,False,False
WormFrame: The Third Dream,Cryptix,1,442,42,11000,2018-10-20,2018-01-12,2018-10-20,True,False
Bio Arc,dingbat779,1,481,27,57000,2018-10-20,2016-11-25,2018-10-20,False,False
Cope,Eotyrannus,1,1700,10,8900,2018-10-20,2018-10-08,2018-10-20,False,False
Frozen Fire,Fouredged Sword,1,305,8,4900,2018-10-20,2018-10-05,2018-10-20,False,False
Fully Auto Alchemist,Ilovepievich,1,874,3,2500,2018-10-20,2018-09-17,2018-10-20,False,False
Musical Melodies,Nyx the Author,1,221,6,24000,2018-10-22,2018-03-06,2018-10-20,False,False
Neither can Lose,frustratedFreeboota,1,381,3,1100,2018-10-22,2018-10-08,2018-10-20,False,False
A New Cycle,Foul steak,1,6400,16,59000,2018-10-20,2018-03-26,2018-10-20,False,False
Overwatch,QuickDeath007,1,1600,35,37000,2018-10-20,2018-12-07,2018-10-20,False,False
Polyhymnia,WorldsPariah,1,931,4,4200,2018-10-20,2018-08-13,2018-10-20,False,False
Project: Deadpool+,KSLCross,4,19000,14,58000,2018-10-20,2018-10-08,2018-10-20,False,False
UnLimited Fantasia 2: Brockton Bay,SymphonicCrusader,1,1900,3,4400,2018-10-20,2018-10-01,2018-10-20,False,False
